name,platform,mean,median,std,cv,min,max,count
basic-http,AWS Lambda,0.043464883333333336,0.0192025,0.04638720202564266,106.72340167094889,0.01069,0.153298,120.0
basic-http,Fermyon Spin,0.016413200000000003,0.0162185,0.001089839951244095,6.6400211491000825,0.015238,0.025738,120.0
light-compute,AWS Lambda,0.027947983333333332,0.01879,0.019797005539198286,70.83518443202504,0.01019,0.084282,120.0
light-compute,Fermyon Spin,0.33541884166666663,0.33177599999999996,0.018050422454608812,5.3814575129166435,0.310068,0.426964,120.0
heavy-compute,AWS Lambda,395.42375460000005,391.959186,21.095427446963523,5.334891291066487,351.274189,478.964803,120.0
heavy-compute,Fermyon Spin,5410.9785286333345,5400.2338425,93.5370468288753,1.728653076960189,5193.898043,5791.112805,120.0
key-value,AWS Lambda,0.002899058333333334,0.0025495,0.0008004147170421737,27.60947262906082,0.001671,0.004917,120.0
key-value,Fermyon Spin,9.130952449999999,8.313969499999999,3.2078769984658835,35.131899065643296,6.604993,23.112024,120.0
query-external,AWS Lambda,29.22303214166667,27.721716,9.37955535486518,32.09644813513947,25.70794,128.475323,120.0
query-external,Fermyon Spin,532.6925082333332,520.386937,30.273485930118245,5.683107132578194,505.230119,659.123085,120.0
