platform,name,cold_start,mean_total,std_total,mean_ratio,std_ratio,count
AWS Lambda,basic-http,False,470.78420235833335,77.55813601621095,9.640743208587962e-05,0.00010641385895003214,120
AWS Lambda,basic-http,True,805.0241555333334,85.64450649163459,2.4713410065956247e-05,5.523507814713867e-06,30
AWS Lambda,heavy-compute,False,862.6216199583333,78.09857959466231,0.8698637840095638,0.15325629308194846,120
AWS Lambda,heavy-compute,True,1654.8469363666666,124.2157261476387,1.0494156023322925,0.1492765835510867,30
AWS Lambda,key-value,False,415.33142702500004,80.4854921713787,7.217948159939154e-06,2.3700829170442708e-06,120
AWS Lambda,key-value,True,1156.2122230333334,208.86883133148,5.281685567081433e-06,1.2635467688869406e-06,30
AWS Lambda,light-compute,False,467.32099679166663,91.26610820144063,6.180231300686587e-05,4.561104509555655e-05,120
AWS Lambda,light-compute,True,779.5752067666667,88.06298934970464,0.0004860251523560916,0.0011992563618972295,30
AWS Lambda,query-external,False,444.04608261666664,82.87863157059337,0.07221414085494522,0.020070566951123754,120
AWS Lambda,query-external,True,1508.7631568333334,188.29238573409646,0.7387728371190824,0.11668235362345221,30
Fermyon Spin,basic-http,False,154.37143419166665,76.04955972854424,0.00013332525153542945,6.1023353600986905e-05,120
Fermyon Spin,basic-http,True,248.72020703333334,77.09118736601056,7.621883995745637e-05,2.7199239260994204e-05,30
Fermyon Spin,heavy-compute,False,5560.00936545,119.89227791723941,49.12874995975182,25.10079599634734,120
Fermyon Spin,heavy-compute,True,5567.852231433334,124.70876495913417,52.074985113473915,25.77845785287054,30
Fermyon Spin,key-value,False,152.71516824166667,80.87913288171302,0.08900362085860548,0.06634599343617009,120
Fermyon Spin,key-value,True,149.63542433333333,72.87960965909312,0.14301731456145983,0.11832099785934279,30
Fermyon Spin,light-compute,False,143.776863725,74.16913650653154,0.0030616453124911415,0.001559227099421993,120
Fermyon Spin,light-compute,True,143.39315820000002,72.14932383463743,0.0029345258142834977,0.0013294187034333979,30
Fermyon Spin,query-external,False,680.1376790666667,93.03875943003618,4.8712565662505165,2.482070404172608,120
Fermyon Spin,query-external,True,681.4572769,79.36719684911623,5.145510152840233,2.5474446298955753,30
