platform,mean,median,std,cv,min,max,count
AWS Lambda,85.10609543653845,0.046733,156.352955003772,183.71534283388738,0.001671,478.964803,520.0
Fermyon Spin,1188.2865737865386,8.313969499999999,2117.147773918231,178.16811370440942,0.015238,5553.094554,520.0
