function,fermyon_mean,aws_mean,mean_difference,fermyon_median,aws_median,fermyon_std,aws_std,fermyon_cv,aws_cv,statistic,p_value,test_used,fermyon_faster
basic-http,0.016413200000000003,0.043464883333333336,-0.027051683333333333,0.0162185,0.0192025,0.001089839951244095,0.04638720202564266,6.6400211491000825,106.72340167094889,6886.0,0.5599200382989521,mannwhitneyu,True
light-compute,0.33541884166666663,0.027947983333333332,0.3074708583333333,0.33177599999999996,0.01879,0.018050422454608812,0.019797005539198286,5.3814575129166435,70.83518443202504,14400.0,7.14359640129701e-41,mannwhitneyu,False
heavy-compute,5410.9785286333345,395.42375460000005,5015.554774033334,5400.2338425,391.959186,93.5370468288753,21.095427446963523,1.728653076960189,5.334891291066487,14400.0,7.143875795425793e-41,mannwhitneyu,False
key-value,9.130952449999999,0.002899058333333334,9.128053391666665,8.313969499999999,0.0025495,3.2078769984658835,0.0008004147170421737,35.131899065643296,27.60947262906082,14400.0,7.142758283019508e-41,mannwhitneyu,False
query-external,532.6925082333332,29.22303214166667,503.46947609166654,520.386937,27.721716,30.273485930118245,9.37955535486518,5.683107132578194,32.09644813513947,14400.0,7.143875795425793e-41,mannwhitneyu,False
