platform,mean,median,std,cv,min,max,count
AWS Lambda,84.94421973333333,0.046733,156.1204656802071,183.7917473023102,0.001671,478.964803,600.0
Fermyon Spin,1190.6307642716665,8.313969499999999,2122.3410076665605,178.2534998551663,0.015238,5791.112805,600.0
